Node	survival:master 	emt_senescence:master 	invasion_motility:master 	caf_cell:master 	angiogenesis:master 	adaptive_immune:master 	innate_immune:master 
PPP1CA	1	1	0	1	0	1	0
PRKACA	1	0	0	0	0	1	1
PRKCA	1	1	0	1	0	0	1
PRKCD	1	1	0	1	0	0	1
PTEN	1	1	1	1	0	1	0
PTEN_g	1	1	1	1	0	1	0
PTPN11	0	1	0	1	1	1	1
PTPN6	0	0	0	1	1	1	1
RAC_f	1	1	1	1	1	1	1
RAF_f	1	1	0	1	1	1	1
REL_f	1	1	1	1	0	1	1
RHEB	1	0	1	0	0	1	1
RHOA	1	1	1	1	0	0	1
RND3	0	0	0	0	0	0	0
ROCK1	1	1	1	1	0	1	1
RSK_f	1	0	0	0	1	0	0
RTPK_f	1	1	1	1	1	0	1
RTPK_g	1	1	1	1	1	0	1
S6K_f	1	0	1	0	0	0	0
SFRP1	1	0	0	0	0	0	0
SFRP1_g	1	0	0	0	0	0	0
SHC1	0	1	0	1	1	0	1
SKI	1	0	0	0	0	0	0
SKP2	1	0	0	0	0	0	0
SMAD1	1	1	0	0	0	0	0
SMAD2	1	1	1	1	0	0	1
SMAD3	1	1	1	1	0	0	1
SMAD4	1	1	1	1	0	0	1
SMAD5	0	1	0	0	0	0	0
SMAD6	0	1	0	0	0	0	0
SMAD6_g	0	1	0	0	0	0	0
SMAD7	0	1	0	1	0	0	0
SMAD7_g	0	1	0	1	0	0	0
SMURF1	1	1	0	1	0	0	0
SMURF2	0	1	0	1	0	0	0
SOCS1	0	0	0	0	0	0	1
SOCS1_g	0	0	0	0	0	0	1
SOS1	1	1	0	1	1	1	1
SRC	1	1	1	1	0	1	0
SRF	0	0	1	0	0	0	0
STAT1	1	1	0	1	0	1	1
STAT2	0	0	0	0	0	1	0
STAT3	1	1	1	1	0	0	1
SYK	0	0	0	0	1	0	1
TAB_f	1	1	0	1	0	1	1
TCF7_f	1	0	0	0	0	0	0
TGFB1	1	1	0	1	0	0	1
TGFBR1	1	1	0	1	0	0	1
TGFBR2	1	1	0	1	0	0	1
TIAM1	1	1	0	0	0	0	0
TP53	1	1	1	1	0	0	1
TRAF6	1	1	0	1	0	1	1
TSC_f	1	0	1	0	0	1	1
VAV1	0	1	0	0	0	1	1
