Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-4420097,"VEGFA-VEGFR2 Pathway",27,125,0.008891101785333238,1.1102230246251565E-16,1.6653345369377348E-15,71,77,0.006425233644859813,9606,Homo sapiens,"ROCK1;PDPK1;SRC;PRKCD;PRKCA;MAPK14;VAV1;MTOR;RHOA;CDC42;PAK1;PIK3CA;AKT2;MAPKAPK2;AKT3;KDR;MLST8;AKT1;CTNNB1;RICTOR;KRAS;RAC1;PLCG1;PRKACA","","R-HSA-167686;R-HSA-2029465;R-HSA-202127;R-HSA-5228992;R-HSA-202137;R-HSA-5218645;R-HSA-5218643;R-HSA-5218642;R-HSA-5218640;R-HSA-2317314;R-HSA-5357429;R-HSA-5357432;R-HSA-4420202;R-HSA-187688;R-HSA-8951586;R-HSA-5218916;R-HSA-4420206;R-HSA-1497784;R-HSA-2316429;R-HSA-4420083;R-HSA-5218815;R-HSA-5218814;R-HSA-5218813;R-HSA-5218812;R-HSA-5218811;R-HSA-5218809;R-HSA-5218806;R-HSA-5218805;R-HSA-5218804;R-HSA-4420099;R-HSA-5218830;R-HSA-5218829;R-HSA-5218828;R-HSA-5218827;R-HSA-5218826;R-HSA-5218824;R-HSA-4420107;R-HSA-5218823;R-HSA-5218822;R-HSA-5218821;R-HSA-5218820;R-HSA-434637;R-HSA-5218819;R-HSA-5218818;R-HSA-5218847;R-HSA-5218845;R-HSA-5357445;R-HSA-4420117;R-HSA-5218841;R-HSA-5218839;R-HSA-5218838;R-HSA-4420121;R-HSA-5218836;R-HSA-5218832;R-HSA-4420128;R-HSA-5218855;R-HSA-5218854;R-HSA-5218852;R-HSA-5218851;R-HSA-4420143;R-HSA-5218850;R-HSA-4420140;R-HSA-5357472;R-HSA-198640;R-HSA-5357477;R-HSA-5357479;R-HSA-4420153;R-HSA-5357483;R-HSA-202111;R-HSA-3928647;R-HSA-198270"
R-HSA-74751,"Insulin receptor signalling cascade",24,71,0.00505014581406928,1.1102230246251565E-16,1.6653345369377348E-15,23,25,0.0020861148197596794,9606,Homo sapiens,"PDPK1;SHC1;IRS1;FLT3;GAB1;PTPN11;GAB2;PIK3CA;AKT2;MAPK1;AKT1;GRB2;KRAS;SOS1;FGFR4;FGFR3;FGFR2;MAPK3;FGFR1","","R-HSA-109699;R-HSA-109701;R-HSA-109700;R-HSA-109702;R-HSA-5686074;R-HSA-109807;R-HSA-74737;R-HSA-74736;R-HSA-74707;R-HSA-109813;R-HSA-74740;R-HSA-74711;R-HSA-74743;R-HSA-74742;R-HSA-109817;R-HSA-162363;R-HSA-74712;R-HSA-74747;R-HSA-74746;R-HSA-5686315;R-HSA-74748;R-HSA-109823;R-HSA-109822"
R-HSA-2428928,"IRS-related events triggered by IGF1R",22,68,0.0048367593712212815,1.1102230246251565E-16,1.6653345369377348E-15,11,12,0.0010013351134846463,9606,Homo sapiens,"PDPK1;IRS1;FLT3;GAB1;PTPN11;GAB2;IGF1R;PIK3CA;AKT2;AKT1;GRB2;KRAS;SOS1;FGFR4;FGFR3;FGFR2;FGFR1","","R-HSA-74737;R-HSA-74736;R-HSA-109699;R-HSA-109701;R-HSA-109700;R-HSA-109702;R-HSA-2428930;R-HSA-109817;R-HSA-162363;R-HSA-2428926;R-HSA-2428922"
R-HSA-194138,"Signaling by VEGF",29,134,0.009531261113877232,1.1102230246251565E-16,1.6653345369377348E-15,76,83,0.006925901201602136,9606,Homo sapiens,"FLT1;ROCK1;SRC;FLT4;CDC42;PAK1;AKT2;AKT3;KDR;MLST8;AKT1;RICTOR;RAC1;PLCG1;PRKACA;PDPK1;PRKCD;PRKCA;MAPK14;VAV1;MTOR;RHOA;PIK3CA;MAPKAPK2;CTNNB1;KRAS","","R-HSA-194310;R-HSA-167686;R-HSA-194311;R-HSA-194308;R-HSA-2029465;R-HSA-202127;R-HSA-5228992;R-HSA-202137;R-HSA-5218645;R-HSA-5218643;R-HSA-5218642;R-HSA-5218640;R-HSA-2317314;R-HSA-5357429;R-HSA-5357432;R-HSA-4420202;R-HSA-187688;R-HSA-8951586;R-HSA-5218916;R-HSA-4420206;R-HSA-1497784;R-HSA-2316429;R-HSA-4420083;R-HSA-5218815;R-HSA-5218814;R-HSA-5218813;R-HSA-5218812;R-HSA-5218811;R-HSA-5218809;R-HSA-5218806;R-HSA-5218805;R-HSA-5218804;R-HSA-4420099;R-HSA-5218830;R-HSA-5218829;R-HSA-5218828;R-HSA-5218827;R-HSA-5218826;R-HSA-5218824;R-HSA-4420107;R-HSA-5218823;R-HSA-5218822;R-HSA-5218821;R-HSA-5218820;R-HSA-434637;R-HSA-5218819;R-HSA-5218818;R-HSA-5218847;R-HSA-195408;R-HSA-5218845;R-HSA-5357445;R-HSA-4420117;R-HSA-5218841;R-HSA-195418;R-HSA-5218839;R-HSA-5218838;R-HSA-4420121;R-HSA-5218836;R-HSA-5218832;R-HSA-4420128;R-HSA-5218855;R-HSA-5218854;R-HSA-5218852;R-HSA-5218851;R-HSA-4420143;R-HSA-5218850;R-HSA-4420140;R-HSA-5357472;R-HSA-198640;R-HSA-5357477;R-HSA-5357479;R-HSA-4420153;R-HSA-5357483;R-HSA-202111;R-HSA-3928647;R-HSA-198270"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",30,94,0.006686108542570596,1.1102230246251565E-16,1.6653345369377348E-15,51,57,0.004756341789052069,9606,Homo sapiens,"ATF2;RELA;IKBKB;MAPK9;RPS6KA3;MAPK8;RPS6KA5;IRAK1;RPS6KA2;RPS6KA1;MAPK1;MAP3K8;MAP2K7;BTRC;MAP3K7;MAPK3;MAP2K3;MAP2K4;MAP2K1;JUN;CHUK;FOS;MAPK14;NFKB1;DUSP6;NFKB2;TRAF6;MAPKAPK2;REL;TAB2;TAB1","","R-HSA-975878;R-HSA-975879;R-HSA-975874;R-HSA-936963;R-HSA-936960;R-HSA-198669;R-HSA-936991;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-936986;R-HSA-203797;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-451634;R-HSA-937034;R-HSA-937032;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-168140;R-HSA-937050;R-HSA-199895;R-HSA-450257;R-HSA-166869;R-HSA-198746;R-HSA-937044;R-HSA-168162;R-HSA-936942;R-HSA-975852;R-HSA-975853;R-HSA-168166;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-168053;R-HSA-168440;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-975857"
R-HSA-112399,"IRS-mediated signalling",21,64,0.0045522441140906185,1.1102230246251565E-16,1.6653345369377348E-15,8,9,7.510013351134847E-4,9606,Homo sapiens,"PDPK1;IRS1;FLT3;GAB1;PTPN11;GAB2;PIK3CA;AKT2;AKT1;GRB2;KRAS;SOS1;FGFR4;FGFR3;FGFR2;FGFR1","","R-HSA-74737;R-HSA-74736;R-HSA-109699;R-HSA-109701;R-HSA-109700;R-HSA-109702;R-HSA-109817;R-HSA-162363"
R-HSA-190236,"Signaling by FGFR",23,106,0.007539654313962587,1.1102230246251565E-16,1.6653345369377348E-15,126,142,0.01184913217623498,9606,Homo sapiens,"SHC1;SRC;GAB1;BRAF;PTPN11;PIK3CA;MAPK1;GRB2;KRAS;PLCG1;SOS1;FGFR4;FGFR3;FGFR2;MAPK3;FGFR1","","R-HSA-5654614;R-HSA-1295634;R-HSA-5654615;R-HSA-5654612;R-HSA-5654608;R-HSA-5654622;R-HSA-5654623;R-HSA-177931;R-HSA-5654620;R-HSA-5654618;R-HSA-5654596;R-HSA-5654597;R-HSA-5654594;R-HSA-5654592;R-HSA-5654607;R-HSA-5654605;R-HSA-5654603;R-HSA-5654600;R-HSA-5654646;R-HSA-1307955;R-HSA-5654647;R-HSA-5654643;R-HSA-5654640;R-HSA-190245;R-HSA-5654641;R-HSA-1307963;R-HSA-5654399;R-HSA-5654655;R-HSA-5654397;R-HSA-5654653;R-HSA-5654651;R-HSA-5654392;R-HSA-190258;R-HSA-5654631;R-HSA-190256;R-HSA-5654628;R-HSA-190263;R-HSA-190260;R-HSA-5654625;R-HSA-190261;R-HSA-5654637;R-HSA-190265;R-HSA-5654634;R-HSA-190268;R-HSA-5654633;R-HSA-191062;R-HSA-5656064;R-HSA-5654582;R-HSA-5654578;R-HSA-5654591;R-HSA-5654586;R-HSA-5654587;R-HSA-5654584;R-HSA-5654566;R-HSA-5654565;R-HSA-5654562;R-HSA-190326;R-HSA-5654560;R-HSA-5654575;R-HSA-5654573;R-HSA-5654571;R-HSA-5654569;R-HSA-5654224;R-HSA-5654222;R-HSA-5654734;R-HSA-5654730;R-HSA-5654729;R-HSA-5654514;R-HSA-8941613;R-HSA-190385;R-HSA-8941628;R-HSA-190388;R-HSA-8941618;R-HSA-8941623;R-HSA-5654422;R-HSA-5654167;R-HSA-5654679;R-HSA-5654423;R-HSA-5654165;R-HSA-5654677;R-HSA-5654418;R-HSA-5654163;R-HSA-5654672;R-HSA-5654416;R-HSA-5654673;R-HSA-190408;R-HSA-5654428;R-HSA-5654684;R-HSA-5654426;R-HSA-190413;R-HSA-5654169;R-HSA-5654425;R-HSA-5654406;R-HSA-5654662;R-HSA-5654407;R-HSA-5654151;R-HSA-5654663;R-HSA-5654404;R-HSA-5654148;R-HSA-5654149;R-HSA-5654402;R-HSA-5654658;R-HSA-5654147;R-HSA-5654659;R-HSA-190427;R-HSA-5654159;R-HSA-5654157;R-HSA-5654413;R-HSA-5654669;R-HSA-5654667;R-HSA-5654408;R-HSA-5654664;R-HSA-190429;R-HSA-5654409;R-HSA-5654709;R-HSA-1295604;R-HSA-5654705;R-HSA-1295609;R-HSA-5654717;R-HSA-1549564;R-HSA-5654714;R-HSA-1295613;R-HSA-5654692;R-HSA-5654690;R-HSA-5654701;R-HSA-5654697"
R-HSA-201681,"TCF dependent signaling in response to WNT",32,216,0.015363823885055836,1.1102230246251565E-16,1.6653345369377348E-15,63,71,0.00592456608811749,9606,Homo sapiens,"GSK3B;GSK3A;TCF7;LEF1;LRP5;LRP6;MYC;AKT2;DVL1;DVL2;DVL3;AKT1;EP300;BTRC;FZD1;TCF7L2;TCF7L1;CREBBP;FZD2;SMURF2;FZD5;FZD4;CSNK1A1;FZD6;AXIN1;FZD8;CSNK1E;DKK1;DKK2;DKK4;SFRP1;CTNNB1","","R-HSA-3769401;R-HSA-3322422;R-HSA-3601585;R-HSA-3769393;R-HSA-3322427;R-HSA-3769392;R-HSA-3364026;R-HSA-3322424;R-HSA-3769394;R-HSA-3769397;R-HSA-4641236;R-HSA-4411351;R-HSA-3769391;R-HSA-3640874;R-HSA-3364014;R-HSA-5665608;R-HSA-3769383;R-HSA-4411357;R-HSA-3640872;R-HSA-3772441;R-HSA-4641253;R-HSA-4411367;R-HSA-3451153;R-HSA-4641249;R-HSA-4641134;R-HSA-1504190;R-HSA-3640862;R-HSA-3640861;R-HSA-3772435;R-HSA-4641260;R-HSA-1504188;R-HSA-3772434;R-HSA-1504186;R-HSA-3640858;R-HSA-1458875;R-HSA-3772436;R-HSA-4641256;R-HSA-4641129;R-HSA-4411372;R-HSA-3772430;R-HSA-3640844;R-HSA-4641147;R-HSA-3451147;R-HSA-4641159;R-HSA-3299569;R-HSA-1504213;R-HSA-5368596;R-HSA-4641155;R-HSA-201669;R-HSA-201677;R-HSA-5368580;R-HSA-201685;R-HSA-5368582;R-HSA-1504193;R-HSA-5323526;R-HSA-201691;R-HSA-5368586;R-HSA-5368588;R-HSA-3361751;R-HSA-5626938;R-HSA-201712;R-HSA-201717;R-HSA-3364042"
R-HSA-448424,"Interleukin-17 signaling",28,77,0.005476918699765275,1.1102230246251565E-16,1.6653345369377348E-15,31,35,0.0029205607476635513,9606,Homo sapiens,"ATF2;IKBKB;MAPK9;RPS6KA3;MAPK8;RPS6KA5;IRAK1;RPS6KA2;RPS6KA1;MAPK1;MAP3K8;MAP2K7;BTRC;MAP3K7;MAPK3;MAP2K3;MAP2K4;MAP2K1;JUN;CHUK;FOS;MAPK14;NFKB1;DUSP6;TRAF6;MAPKAPK2;TAB2;TAB1","","R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-198669;R-HSA-450325;R-HSA-199959;R-HSA-199895;R-HSA-203797;R-HSA-450257;R-HSA-198746;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-450337;R-HSA-5684273;R-HSA-198756;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-168440;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-168176,"Toll Like Receptor 5 (TLR5) Cascade",30,94,0.006686108542570596,1.1102230246251565E-16,1.6653345369377348E-15,51,58,0.0048397863818424565,9606,Homo sapiens,"ATF2;RELA;IKBKB;MAPK9;RPS6KA3;MAPK8;RPS6KA5;IRAK1;RPS6KA2;RPS6KA1;MAPK1;MAP3K8;MAP2K7;BTRC;MAP3K7;MAPK3;MAP2K3;MAP2K4;MAP2K1;JUN;CHUK;FOS;MAPK14;NFKB1;DUSP6;NFKB2;TRAF6;MAPKAPK2;REL;TAB2;TAB1","","R-HSA-975878;R-HSA-975879;R-HSA-975874;R-HSA-936963;R-HSA-936960;R-HSA-198669;R-HSA-936991;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-936986;R-HSA-203797;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-451634;R-HSA-937034;R-HSA-937032;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-168140;R-HSA-937050;R-HSA-199895;R-HSA-450257;R-HSA-166869;R-HSA-198746;R-HSA-937044;R-HSA-168162;R-HSA-936942;R-HSA-975852;R-HSA-975853;R-HSA-168166;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-168053;R-HSA-168440;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-975857"
R-HSA-168142,"Toll Like Receptor 10 (TLR10) Cascade",30,94,0.006686108542570596,1.1102230246251565E-16,1.6653345369377348E-15,51,58,0.0048397863818424565,9606,Homo sapiens,"ATF2;RELA;IKBKB;MAPK9;RPS6KA3;MAPK8;RPS6KA5;IRAK1;RPS6KA2;RPS6KA1;MAPK1;MAP3K8;MAP2K7;BTRC;MAP3K7;MAPK3;MAP2K3;MAP2K4;MAP2K1;JUN;CHUK;FOS;MAPK14;NFKB1;DUSP6;NFKB2;TRAF6;MAPKAPK2;REL;TAB2;TAB1","","R-HSA-975878;R-HSA-975879;R-HSA-975874;R-HSA-936963;R-HSA-936960;R-HSA-198669;R-HSA-936991;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-936986;R-HSA-203797;R-HSA-450333;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-451634;R-HSA-937034;R-HSA-937032;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-168140;R-HSA-937050;R-HSA-199895;R-HSA-450257;R-HSA-166869;R-HSA-198746;R-HSA-937044;R-HSA-168162;R-HSA-936942;R-HSA-975852;R-HSA-975853;R-HSA-168166;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-168053;R-HSA-168440;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-975857"
