Node	HGNC.symbols	ClosenessCentrality	BetweennessCentrality	Indegree	Outdegree	NeighborhoodConnectivity	Shortest_distance_target	Shortest_distance_output	PCI	Outdegree.inhibit	Outdegree.activate	Indegree.inhibit	Indegree.activate	ClusteringCoefficient	AverageShortestPathLength
MAPK8IP3	MAPK8IP3	0.15864333	0.00882416	1.0	1.0	6.5	2.0	5.0	0.0128914556360671	0	1	0	1	0.0	6.30344828
MAPKAPK2	MAPKAPK2	0.18685567	0.011204500000000001	1.0	4.0	6.8	2.0	3.0	0.0186341158605093	0	4	0	1	0.0	5.35172414
MDM2	MDM2	0.16705069	0.02452544	5.0	1.0	8.166666667000001	2.0	5.0	0.0214571040537335	1	0	1	4	0.06666667	5.9862069
MDM2_g	MDM2	0.14342235	0.00604808	2.0	1.0	7.333333333	3.0	6.0	0.013790140144702	0	1	0	2	0.16666667	6.97241379
MEK_f	MAP2K1, MAP2K2	0.25800712	0.04860896	3.0	2.0	9.25	0.0	3.0	0.0296499059837292	1	1	1	2	0.08333333	3.87586207
MMP_f	MMP2, MMP7, MMP9	0.20803443	0.06879677	2.0	1.0	7.333333333	2.0	4.0	0.0287006114324104	0	1	0	2	0.0	4.80689655
MSK_f	RPS6KA4, RPS6KA5	0.20625889	0.00813562	2.0	3.0	10.8	2.0	5.0	0.0149923920600268	0	3	0	2	0.15	4.84827586
mTORC1_c	MTOR, RPTOR, MLST8	0.22979398	0.02135086	3.0	3.0	6.166666667	1.0	3.0	0.023698644475404002	0	3	1	2	0.0	4.35172414
mTORC2_c	MTOR, RICTOR, MLST8	0.25043178	0.06056289	3.0	2.0	9.2	1.0	3.0	0.0237475092628108	0	2	1	2	0.05	3.99310345
MXD1	MXD1	0.11885246	0.000343	2.0	1.0	8.666666667000001	1.0	2.0	0.0106149542416311	1	0	2	0	0.0	8.4137931
MYC	MYC	0.13376384	0.04720763	5.0	3.0	5.875	0.0	1.0	0.0396994848543808	2	1	2	3	0.01785714	7.47586207
NFKB_f	NFKB1, NFKB2	0.16292135	0.03494609	4.0	3.0	5.1428571430000005	3.0	6.0	0.0250088055722311	0	3	0	4	0.04761905	6.13793103
NLK	NLK	0.16685846	0.00403044	1.0	2.0	5.333333333	2.0	2.0	0.0121848168787644	2	0	0	1	0.0	5.99310345
PAK1	PAK1	0.21386431	0.04366132	2.0	2.0	6.25	1.0	4.0	0.0306274519533488	0	2	0	2	0.0	4.67586207
PARD6A	PARD6A	0.1496388	0.01049868	2.0	1.0	7.0	2.0	7.0	0.0141641700696733	1	0	0	2	0.16666667	6.68275862
PDPK1	PDPK1	0.25394046	0.03596919	1.0	5.0	6.833333333	0.0	2.0	0.0196467384712916	0	5	0	1	0.0	3.93793103
PIAS1	PIAS1	0.18637532	0.00190174	1.0	3.0	9.0	2.0	3.0	0.0125659049371467	1	2	0	1	0.0	5.36551724
PIK3CA	PIK3CA	0.20308123	0.03586289	3.0	2.0	4.2	0.0	4.0	0.0252765810821017	0	2	0	3	0.0	4.92413793
PIP3		0.23089172	0.06356341	3.0	1.0	9.0	1.0	3.0	0.0211720121177807	0	1	1	2	0.0	4.33103448
PLCG1	PLCG1	0.16039823	0.010132500000000001	1.0	2.0	3.0	3.0	6.0	0.0166115703553018	0	2	0	1	0.0	6.23448276
PLK1	PLK1	0.18880208	0.00608622	2.0	2.0	7.25	1.0	2.0	0.0140418393196998	1	1	0	2	0.0	5.29655172
PPM1A	PPM1A	0.22620905	0.04517502	1.0	5.0	9.833333332999999	1.0	4.0	0.0204901641688748	5	0	0	1	0.0	4.42068966
PPP1CA	PPP1CA	0.2917505	0.14620273	2.0	6.0	10.375	1.0	3.0	0.038367600129092	4	2	1	1	0.05357143	3.42758621
PRKACA	PRKACA	0.15491453	0.03006722	2.0	1.0	5.0	3.0	5.0	0.0212357351809088	0	1	0	2	0.0	6.45517241
PRKCA	PRKCA	0.15343915	0.00337929	1.0	1.0	4.5	2.0	5.0	0.0114971862963621	0	1	0	1	0.0	6.51724138
PRKCD	PRKCD	0.22762951	0.03838278	2.0	5.0	7.285714286	1.0	3.0	0.0208942135863508	2	3	0	2	0.02380952	4.39310345
Prosurvival										0	0	0	3	0.16666667	0.0
PTEN	PTEN	0.21641791	0.10790764	5.0	3.0	6.875	0.0	4.0	0.0464823132945632	2	1	3	2	0.01785714	4.62068966
PTEN_g	PTEN	0.17945545	0.01011973	1.0	1.0	5.0	1.0	5.0	0.0176041020719427	0	1	0	1	0.0	5.57241379
PTPN11	PTPN11	0.16840883	0.00145794	1.0	1.0	4.0	2.0	6.0	0.0122922610260567	0	1	0	1	0.0	5.93793103
PTPN6	PTPN6	0.14676113	0.00220067	1.0	1.0	7.0	1.0	4.0	0.0120308063618685	1	0	0	1	0.0	6.8137931
RAC_f	RAC1, RAC2, RAC3	0.21609538	0.09409282	5.0	5.0	3.5	2.0	5.0	0.0508347242465843	1	4	1	4	0.0	4.62758621
RAF_f	ARAF, BRAF, RAF1	0.21513353	0.03853039	4.0	2.0	8.5	1.0	4.0	0.0254860911891818	0	2	3	1	0.06666667	4.64827586
REL_f	RELA, RELB, REL	0.1407767	0.00921618	4.0	1.0	7.4	4.0	7.0	0.0146495894575341	0	1	1	3	0.15	7.10344828
RHEB	RHEB	0.20194986	0.00987366	1.0	2.0	6.333333333	2.0	4.0	0.0152328430725792	1	1	1	0	0.0	4.95172414
RHOA	RHOA	0.17448857	0.05751981	5.0	1.0	5.5	1.0	6.0	0.0372919358758701	0	1	4	1	0.03333333	5.73103448
RND3	RND3	0.14887064	0.00043099999999999996	1.0	1.0	7.5	2.0	7.0	0.0116249605432086	1	0	0	1	0.5	6.71724138
ROCK1	ROCK1	0.21075581	0.09118057	2.0	7.0	3.777777778	0.0	5.0	0.0643765951386502	1	6	0	2	0.01388889	4.74482759
RSK_f	RPS6KA1, RPS6KA2, RPS6KA3	0.25573192	0.01784886	2.0	9.0	7.090909091	0.0	1.0	0.0176106054691176	4	5	0	2	0.05454545	3.91034483
RTPK_f	EGFR, ERBB2, ERBB3, ERBB4, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, MET	0.26126126	0.13498089	4.0	4.0	6.625	1.0	3.0	0.0633821025670991	1	3	2	2	0.01785714	3.82758621
RTPK_g	EGFR, ERBB2, ERBB3, ERBB4, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, MET	0.20833333	0.01244513	1.0	1.0	6.0	2.0	4.0	0.0202232809581468	0	1	0	1	0.0	4.8
S6K_f	RPS6KB1, RPS6KB2	0.24046434	0.01791373	2.0	5.0	6.285714286	1.0	3.0	0.0174992710864185	5	0	0	2	0.0	4.15862069
SFRP1	SFRP1	0.16201117	0.02167887	1.0	1.0	2.5	3.0	5.0	0.0232192217469421	1	0	0	1	0.0	6.17241379
SFRP1_g	SFRP1	0.14009662	0.021487299999999997	1.0	1.0	5.0	4.0	6.0	0.0241432439316075	0	1	1	0	0.0	7.13793103
SHC1	SHC1	0.13849093	0.02383074	5.0	1.0	7.166666667	3.0	7.0	0.0234195830338245	0	1	1	4	0.06666667	7.22068966
SKI	SKI	0.21903323	0.00495587	1.0	6.0	10.85714286	3.0	5.0	0.0153286086450577	6	0	1	0	0.14285714	4.56551724
SKP2	SKP2	0.19863014	0.03416178	3.0	1.0	9.5	2.0	5.0	0.0236067982521534	1	0	0	3	0.0	5.03448276
SMAD1	SMAD1	0.19489247	0.03068644	7.0	2.0	9.333333332999999	2.0	4.0	0.020986992238597	0	2	6	1	0.08333333	5.13103448
SMAD2	SMAD2	0.1835443	0.02212878	8.0	3.0	7.909090909	3.0	6.0	0.0169927119201554	0	3	3	5	0.04545455	5.44827586
SMAD3	SMAD3	0.18709677	0.04733241	11.0	4.0	9.866666667	3.0	6.0	0.0192504419845236	0	4	7	4	0.07142857	5.34482759
SMAD4	SMAD4	0.18661519	0.02673699	10.0	3.0	8.230769231	3.0	6.0	0.0233353449590575	0	3	4	6	0.12820513	5.35862069
SMAD5	SMAD5	0.15795207	0.000151	3.0	1.0	7.75	4.0	7.0	0.0124907787001693	0	1	2	1	0.08333333	6.33103448
SMAD6	SMAD6	0.19808743	0.0119309	1.0	4.0	10.2	1.0	5.0	0.0205506249108075	4	0	0	1	0.25	5.04827586
SMAD6_g	SMAD6	0.16571429	0.01173933	3.0	1.0	11.0	2.0	6.0	0.0211635266204878	0	1	0	3	0.33333333	6.03448276
SMAD7	SMAD7	0.26508227	0.15331463	6.0	6.0	8.1	1.0	4.0	0.0670148573448673	3	3	3	3	0.08888889	3.77241379
SMAD7_g	SMAD7	0.21014493	0.04475848	3.0	1.0	12.25	2.0	5.0	0.021951662032613995	0	1	0	3	0.33333333	4.75862069
SMURF1	SMURF1	0.24086379	0.02000542	1.0	7.0	8.0	1.0	5.0	0.0166534305157665	6	1	0	1	0.0952381	4.15172414
SMURF2	SMURF2	0.21969697	0.01115999	1.0	6.0	7.166666667	1.0	5.0	0.0154510416868154	6	0	0	1	0.1	4.55172414
SOCS1	SOCS1	0.15829694	0.01538132	1.0	2.0	4.0	1.0	4.0	0.0182484624409167	2	0	0	1	0.0	6.31724138
SOCS1_g	SOCS1	0.13705104	0.01518975	1.0	1.0	6.0	2.0	5.0	0.0187917309826653	0	1	0	1	0.0	7.29655172
SOS1	SOS1	0.16821346	0.01788295	3.0	1.0	7.75	2.0	6.0	0.015374230782768	0	1	1	2	0.0	5.94482759
SRC	SRC	0.22103659	0.05582782	2.0	6.0	6.25	1.0	3.0	0.0374016808015466	1	5	1	1	0.03571429	4.52413793
SRF	SRF	0.14064016	0.02455565	3.0	1.0	6.25	4.0	7.0	0.0259543837841938	0	1	0	3	0.08333333	7.11034483
STAT1	STAT1	0.13862333	0.0336657	6.0	3.0	6.777777778	3.0	2.0	0.0296535003598147	1	2	1	5	0.01388889	7.213793099999999
STAT2	STAT2	0.66666667	0.00130894	1.0	1.0	4.5			0.00621477853235097	0	1	0	1	0.0	1.5
STAT3	STAT3	0.18880208	0.08506791	9.0	3.0	8.5	0.0	2.0	0.0305679126243795	0	3	1	8	0.00757576	5.29655172
SYK	SYK	0.16959064	0.02979921	1.0	2.0	3.666666667	0.0	7.0	0.0285767423713086	0	2	0	1	0.0	5.89655172
TAB_f	TAB1, TAB2	0.19256308	0.03293807	2.0	1.0	8.666666667000001	1.0	4.0	0.0261042436150561	0	1	1	1	0.0	5.19310345
TCF7_f	TCF7, TCF7L1, TCF7L2	0.16763006	0.03007435	2.0	4.0	4.166666667	1.0	2.0	0.0258981492668499	1	3	1	1	0.03333333	5.96551724
TGFB1	TGFB1	0.14902364	0.02720678	3.0	1.0	5.5	2.0	8.0	0.0174715531591515	0	1	0	3	0.0	6.71034483
TGFBR1	TGFBR1	0.20336606	0.04840971	5.0	5.0	7.2	0.0	6.0	0.0220535407197492	0	5	4	1	0.11111111	4.91724138
TGFBR2	TGFBR2	0.17406963	0.03001168	3.0	2.0	6.0	1.0	7.0	0.022141087540442996	0	2	2	1	0.15	5.74482759
TIAM1	TIAM1	0.17835178	0.00361517	1.0	1.0	9.5	3.0	6.0	0.0124940213498673	0	1	1	0	0.0	5.60689655
TP53	TP53	0.2	0.05203102	5.0	4.0	6.777777778	1.0	4.0	0.0371720853083378	2	2	1	4	0.04166667	5.0
TRAF6	TRAF6	0.17857143	0.04357683	2.0	2.0	5.75	2.0	5.0	0.0195871047191233	0	2	0	2	0.0	5.6
TSC_f	TSC1, TSC2	0.21449704	0.0399145	5.0	2.0	11.57142857	2.0	4.0	0.0257949407864622	1	1	4	1	0.11904762	4.66206897
VAV1	VAV1	0.17923362	0.01310541	1.0	1.0	6.5	3.0	6.0	0.0139982110850072	0	1	0	1	0.0	5.57931034
