#Node	AGS	AGS_rank	COLO205	COLO205_rank	SW620	SW620_rank	DU145	DU145_rank	allCells	anyCells
MAP2K7	0	0	0	0	1	1	0	0	0	1
MAPK14	1	20	1	8	1	9	1	29	1	1
JNK_f	1	15	1	115	1	2	1	29	1	1
MAP2K3	0	0	0	0	0	0	0	0	0	0
ERK_f	1	15	1	15	1	34	1	13	1	1
LIF	1	6	0	0	0	0	1	1	0	1
PPP1CA	1	118	1	40	1	28	1	11	1	1
GAB_f	0	0	1	25	1	5	1	124	0	1
SOS1	0	0	0	0	1	47	0	0	0	1
PRKCA	0	0	0	0	0	0	0	0	0	0
VAV1	0	0	0	0	0	0	0	0	0	0
PLCG1	0	0	0	0	1	47	0	0	0	1
PRKCD	0	0	0	0	0	0	0	0	0	0
RSK_f	1	17	1	16	1	35	1	14	1	1
S6K_f	1	3	1	3	1	5	1	3	1	1
PLK1	0	0	1	1	1	4	1	2	0	1
ILK	1	117	0	0	0	0	1	123	0	1
SOCS1	0	0	0	0	1	18	1	2	0	1
DUSP6	1	4	1	4	1	8	1	3	1	1
STAT3	1	12	1	8	1	22	1	7	1	1
LIMK2	0	0	0	0	0	0	0	0	0	0
EP300	0	0	0	0	1	1	0	0	0	1
STAT1	0	0	0	0	1	34	1	13	0	1
IKBKB	0	0	1	1	1	12	0	0	0	1
SRF	0	0	0	0	0	0	1	1	0	1
PIAS1	0	0	0	0	1	34	1	13	0	1
TRAF6	1	21	1	8	1	21	1	13	1	1
SOCS1_g	0	0	0	0	1	18	1	2	0	1
ISGF3_c	0	0	0	0	1	18	1	14	0	1
STAT2	0	0	0	0	1	10	1	4	0	1
CFLAR	0	0	0	0	1	2	1	10	0	1
SMAD2	0	0	0	0	0	0	1	0	0	1
MDM2_g	0	0	0	0	0	0	0	0	0	0
BAX	0	0	0	0	0	0	0	0	0	0
PRKACA	0	0	0	0	0	0	0	0	0	0
TGFB1	0	0	0	0	0	0	1	8	0	1
MAP3K8	0	0	0	0	1	13	0	0	0	1
TSC_f	1	12	1	12	1	11	1	13	1	1
SMAD4	1	17	0	0	1	1	1	0	0	1
BAD	0	0	0	0	0	0	0	0	0	0
MAP3K5	0	0	0	0	0	0	0	0	0	0
AKT1S1	1	13	1	12	1	15	1	13	1	1
SKI	0	0	0	0	1	1	1	0	0	1
SMAD3	0	0	0	0	1	0	0	0	0	1
MAPKAPK2	0	0	0	0	1	34	1	13	0	1
DUSP1_g	0	0	0	0	0	0	0	0	0	0
MSK_f	0	0	0	0	0	0	0	0	0	0
GRAP2	0	0	0	0	0	0	0	0	0	0
TAB_f	1	21	1	8	1	18	1	40	1	1
ATF2	0	0	0	0	0	0	0	0	0	0
SMAD5	0	0	0	0	0	0	0	0	0	0
SMAD1	0	0	0	0	0	0	0	0	0	0
FOS	0	0	0	0	1	0	1	8	0	1
JUN	0	0	0	0	0	0	1	8	0	1
MAP3K7	1	21	1	8	1	18	1	40	1	1
NLK	1	26	1	12	1	20	1	36	1	1
SMAD7_g	1	17	0	0	1	1	0	0	0	1
SMAD6_g	0	0	0	0	0	0	1	0	0	1
AP1_c	0	0	0	0	1	14	0	0	0	1
ACVR1	1	34	0	0	0	0	0	0	0	1
PTPN6	0	0	0	0	0	0	0	0	0	0
CDC42	0	0	0	0	0	0	0	0	0	0
GRB2	1	7	1	25	1	6	1	124	1	1
TGFBR1	0	0	0	0	0	0	1	10	0	1
SMURF1	0	0	0	0	1	3	1	10	0	1
SMURF2	1	34	1	34	0	0	1	12	0	1
RHOA	0	0	0	0	1	1	0	0	0	1
BMPR2	1	34	0	0	0	0	0	0	0	1
PARD6A	0	0	0	0	0	0	0	0	0	0
DAAM1	0	0	0	0	0	0	0	0	0	0
SFRP1_g	0	0	0	0	0	0	0	0	0	0
PPM1A	1	119	0	0	0	0	1	13	0	1
CFL_f	0	0	0	0	0	0	1	1	0	1
PAK1	1	117	0	0	0	0	1	123	0	1
MAP3K11	0	0	0	0	0	0	0	0	0	0
MAP3K4	0	0	0	0	0	0	0	0	0	0
LIMK1	0	0	0	0	0	0	1	1	0	1
ROCK1	0	0	0	0	1	2	0	0	0	1
ITCH	1	16	1	132	1	2	1	32	1	1
ARHGAP24	0	0	0	0	1	0	0	0	0	1
TIAM1	0	0	0	0	0	0	0	0	0	0
RND3	0	0	0	0	0	0	0	0	0	0
MAPK8IP3	0	0	0	0	1	1	0	0	0	1
MXD1	1	23	1	5	1	8	1	10	1	1
PIP3	1	25	0	0	1	41	1	24	0	1
