Node	ClosenessCentrality	BetweennessCentrality	Drug.target	Indegree	Outdegree	NeighborhoodConnectivity	ClusteringCoefficient	AverageShortestPathLength	HGNC.symbols	Shortest_distance_target	Shortest_distance_output	PCI	Outdegree.inhibit	Outdegree.activate	Indegree.inhibit	Indegree.activate
DKK_g	0.13602251	0.01983682	FALSE	2	1	5.33333333333333	0.16666667	7.35172414	DKK1, DKK2, DKK3, DKK4	3	7	0.0194807015874934	0	1	1	1
DUSP1	0.24617997	0.0561306	FALSE	4	2	7.6	0.1	4.06206897	DUSP1	1	4	0.040609653583444	2	0	1	3
DUSP1_g	0.19808743	0.00352393	FALSE	2	1	14	0.33333333	5.04827586	DUSP1	2	5	0.0138499666775469	0	1	0	2
DUSP6	0.23052464	0.00634579	FALSE	2	1	13.5	0	4.33793103	DUSP6	2	3	0.0157754254724854	1	0	0	2
DVL_f	0.22342065	0.06173248	FALSE	3	3	7.16666666666667	0.03333333	4.47586207	DVL1, DVL2, DVL3	1	3	0.0299652644862091	1	2	1	2
EGR1	0.15327696	0.00992816	FALSE	1	1	4	0	6.52413793	EGR1	2	6	0.01639599827945	0	1	1	0
EP300	0.24207012	0.03627408	FALSE	3	4	8.57142857142857	0.07142857	4.13103448	EP300	2	5	0.0198936637671999	0	4	2	1
ERK_f	0.29896907	0.10407377	FALSE	3	20	7.33333333333333	0.02619048	3.34482759	MAPK3, MAPK1	1	2	0.0394237738622951	9	11	2	1
FOS	0.16219239	0.03892256	FALSE	3	3	8.16666666666667	0.06666667	6.16551724	FOS	3	6	0.0326848325337281	0	3	0	3
FOXO_f	0.17427885	0.01542668	FALSE	2	2	6.25	0	5.73793103	FOXO1, FOXO3, FOXO4	3	1	0.0201575891715164	0	2	2	0
FZD_f	0.19205298	0.02187044	FALSE	1	2	5.33333333333333	0	5.20689655	FZD1, FZD2, FZD3, FZD4, FZD5, FZD6, FZD7, FZD8, FZD9, FZD10	2	4	0.0243961603788924	0	2	1	0
GAB_f	0.17747858	0.02015249	FALSE	2	2	7.75	0	5.63448276	GAB1, GAB2	1	5	0.0201215926911118	0	2	1	1
GRAP2	0.19917582	0.00319087	FALSE	1	2	8.66666666666667	0.16666667	5.02068966	GRAP2	2	5	0.0133555495465865	0	2	1	0
GRB2	0.15969163	0.02402231	FALSE	1	2	4.66666666666667	0	6.26206897	GRB2	2	6	0.0206297483961446	0	2	0	1
GSK3_f	0.24086379	0.05965042	TRUE	6	8	10	0.05494505	4.15172414	GSK3A, GSK3B	0	2	0.0265691157300278	5	3	6	0
IKBKB	0.21706587	0.06206252	TRUE	4	6	5.9	0.02222222	4.60689655	IKBKB	0	3	0.0310423537427406	2	4	3	1
ILK	0.23162939	0.01408847	FALSE	1	1	10.5	0	4.31724138	ILK	1	3	0.0166312843435391	0	1	0	1
ILR_f	0.18494898	0.08662531	FALSE	2	4	4.5	0	5.40689655	LIFR, IL6ST, IL6R	1	4	0.0560352151725786	0	4	0	2
IRAK1	0.17945545	0.03130608	FALSE	2	2	6.25	0	5.57241379	IRAK1	1	3	0.0153554980088378	0	2	1	1
IRS1	0.16998828	0.00441383	FALSE	3	1	10.75	0	5.88275862	IRS1	1	5	0.014255404115912	0	1	3	0
ISGF3_c	1	0.00248761	FALSE	2	1	4.66666666666667	0	1	STAT1, STAT2	NA	NA	0.00787175206978419	0	1	0	2
ITCH	0.23848684	0.0304584	FALSE	1	4	8	0	4.19310345	ITCH	2	4	0.018741369587698	3	1	0	1
JAK_f	0.17099057	0.03681397	TRUE	3	3	5.66666666666667	0	5.84827586	JAK1, JAK2	0	3	0.0263549198721749	0	3	2	1
JNK_f	0.22727273	0.0726384	TRUE	4	6	6.7	0	4.4	MAPK8, MAPK9	0	3	0.0396790744951194	0	6	1	3
JUN	0.14917695	0.00844303	FALSE	2	2	8.5	0	6.70344828	JUN	3	6	0.0139338601076668	0	2	1	1
KRAS	0.20110957	0.02647691	FALSE	2	2	4.25	0	4.97241379	KRAS	1	5	0.0272608741795335	0	2	0	2
LEF1	0.17344498	0.0182639	FALSE	1	1	3.5	0	5.76551724	LEF1	3	5	0.0145247604273413	0	1	0	1
LIF	0.15709642	0.00931323	FALSE	1	1	6	0	6.36551724	LIF	2	5	0.0135063008897301	0	1	0	1
LIMK1	0.11111111	0.00790699	FALSE	2	1	7.33333333333333	0	9	LIMK1	6	9	0.012492797782703	0	1	0	2
LIMK2	0.11111111	0.00365678	FALSE	2	1	6.33333333333333	0	9	LIMK2	6	9	0.0111118074908784	0	1	1	1
LRP_f	0.18447837	0.04394144	FALSE	5	3	8.125	0.03571429	5.42068966	LRP5, LRP6	1	5	0.0333904892898625	3	0	1	4
MAP2K3	0.23577236	0.01901105	FALSE	2	1	8	0	4.24137931	MAP2K3	1	4	0.021930459305419	0	1	0	2
MAP2K4	0.24659864	0.0466143	FALSE	4	2	6.5	0.03333333	4.05517241	MAP2K4	1	4	0.0326494088873411	0	2	0	4
MAP2K7	0.18685567	0.01601644	FALSE	3	1	5.25	0	5.35172414	MAP2K7	1	4	0.0195358699096626	0	1	0	3
MAP3K11	0.19917582	0.01225014	FALSE	1	1	8	0	5.02068966	MAP3K11	2	5	0.0138020775964277	0	1	0	1
MAP3K4	0.19917582	0.01225014	FALSE	1	1	8	0	5.02068966	MAP3K4	2	5	0.0138020775964277	0	1	0	1
MAP3K5	0.19205298	0.01236037	FALSE	1	1	10	0	5.20689655	MAP3K5	2	5	0.015084660040194	0	1	1	0
MAP3K7	0.23731588	0.03312964	TRUE	1	5	4.83333333333333	0	4.2137931	MAP3K7	0	3	0.0280723376274776	0	5	0	1
MAP3K8	0.20655271	0.01398716	FALSE	1	1	7	0	4.84137931	MAP3K8	1	4	0.0153203741560723	0	1	0	1
MAPK14	0.30655391	0.10917044	TRUE	3	14	7	0.01666667	3.26206897	MAPK14	0	3	0.0606963970358957	4	10	1	2
MAPK8IP3	0.15864333	0.00882416	FALSE	1	1	6.5	0	6.30344828	MAPK8IP3	2	5	0.0128914556360671	0	1	0	1
MAPKAPK2	0.18685567	0.0112045	FALSE	1	4	6.8	0	5.35172414	MAPKAPK2	2	3	0.0186341158605093	0	4	0	1
MDM2	0.16705069	0.02452544	FALSE	5	1	8.16666666666667	0.06666667	5.9862069	MDM2	2	5	0.0214571040537335	1	0	1	4
MDM2_g	0.14342235	0.00604808	FALSE	2	1	7.33333333333333	0.16666667	6.97241379	MDM2	3	6	0.013790140144702	0	1	0	2
MEK_f	0.25800712	0.04860896	TRUE	3	2	9.25	0.08333333	3.87586207	MAP2K1, MAP2K2	0	3	0.0296499059837292	1	1	1	2
MMP_f	0.20803443	0.06879677	FALSE	2	1	7.33333333333333	0	4.80689655	MMP2, MMP7, MMP9	2	4	0.0287006114324104	0	1	0	2
MSK_f	0.20625889	0.00813562	FALSE	2	3	10.8	0.15	4.84827586	RPS6KA4, RPS6KA5	2	5	0.0149923920600268	0	3	0	2
mTORC1_c	0.22979398	0.02135086	FALSE	3	3	6.16666666666667	0	4.35172414	MTOR, RPTOR, MLST8	1	3	0.023698644475404	0	3	1	2
mTORC2_c	0.25043178	0.06056289	FALSE	3	2	9.2	0.05	3.99310345	MTOR, RICTOR, MLST8	1	3	0.0237475092628108	0	2	1	2
MXD1	0.11885246	0.00034323	FALSE	2	1	8.66666666666667	0	8.4137931	MXD1	1	2	0.0106149542416311	1	0	2	0
MYC	0.13376384	0.04720763	TRUE	5	3	5.875	0.01785714	7.47586207	MYC	0	1	0.0396994848543808	2	1	2	3
NFKB_f	0.16292135	0.03494609	FALSE	4	3	5.14285714285714	0.04761905	6.13793103	NFKB1, NFKB2	3	6	0.0250088055722311	0	3	0	4
NLK	0.16685846	0.00403044	FALSE	1	2	5.33333333333333	0	5.99310345	NLK	2	2	0.0121848168787644	2	0	0	1
PAK1	0.21386431	0.04366132	FALSE	2	2	6.25	0	4.67586207	PAK1	1	4	0.0306274519533488	0	2	0	2
PARD6A	0.1496388	0.01049868	FALSE	2	1	7	0.16666667	6.68275862	PARD6A	2	7	0.0141641700696733	1	0	0	2
PDPK1	0.25394046	0.03596919	TRUE	1	5	6.83333333333333	0	3.93793103	PDPK1	0	2	0.0196467384712916	0	5	0	1
PIAS1	0.18637532	0.00190174	FALSE	1	3	9	0	5.36551724	PIAS1	2	3	0.0125659049371467	1	2	0	1
PIK3CA	0.20308123	0.03586289	TRUE	3	2	4.2	0	4.92413793	PIK3CA	0	4	0.0252765810821017	0	2	0	3
PIP3	0.23089172	0.06356341	FALSE	3	1	9	0	4.33103448	NA	1	3	0.0211720121177807	0	1	1	2
PLCG1	0.16039823	0.0101325	FALSE	1	2	3	0	6.23448276	PLCG1	3	6	0.0166115703553018	0	2	0	1
PLK1	0.18880208	0.00608622	FALSE	2	2	7.25	0	5.29655172	PLK1	1	2	0.0140418393196998	1	1	0	2
PPM1A	0.22620905	0.04517502	FALSE	1	5	9.83333333333333	0	4.42068966	PPM1A	1	4	0.0204901641688748	5	0	0	1
PPP1CA	0.2917505	0.14620273	FALSE	2	6	10.375	0.05357143	3.42758621	PPP1CA	1	3	0.038367600129092	4	2	1	1
PRKACA	0.15491453	0.03006722	FALSE	2	1	5	0	6.45517241	PRKACA	3	5	0.0212357351809088	0	1	0	2
PRKCA	0.15343915	0.00337929	FALSE	1	1	4.5	0	6.51724138	PRKCA	2	5	0.0114971862963621	0	1	0	1
PRKCD	0.22762951	0.03838278	FALSE	2	5	7.28571428571429	0.02380952	4.39310345	PRKCD	1	3	0.0208942135863508	2	3	0	2
Prosurvival	0	0	FALSE	3	0	8	0.16666667	0	NA	NA	NA	0.00746104030942618	0	0	0	3
PTEN	0.21641791	0.10790764	TRUE	5	3	6.875	0.01785714	4.62068966	PTEN	0	4	0.0464823132945632	2	1	3	2
PTEN_g	0.17945545	0.01011973	FALSE	1	1	5	0	5.57241379	PTEN	1	5	0.0176041020719427	0	1	0	1
PTPN11	0.16840883	0.00145794	FALSE	1	1	4	0	5.93793103	PTPN11	2	6	0.0122922610260567	0	1	0	1
PTPN6	0.14676113	0.00220067	FALSE	1	1	7	0	6.8137931	PTPN6	1	4	0.0120308063618685	1	0	0	1
RAC_f	0.21609538	0.09409282	FALSE	5	5	3.5	0	4.62758621	RAC1, RAC2, RAC3	2	5	0.0508347242465843	1	4	1	4
RAF_f	0.21513353	0.03853039	FALSE	4	2	8.5	0.06666667	4.64827586	ARAF, BRAF, RAF1	1	4	0.0254860911891818	0	2	3	1
REL_f	0.1407767	0.00921618	FALSE	4	1	7.4	0.15	7.10344828	RELA, RELB, REL	4	7	0.0146495894575341	0	1	1	3
RHEB	0.20194986	0.00987366	FALSE	1	2	6.33333333333333	0	4.95172414	RHEB	2	4	0.0152328430725792	1	1	1	0
RHOA	0.17448857	0.05751981	FALSE	5	1	5.5	0.03333333	5.73103448	RHOA	1	6	0.0372919358758701	0	1	4	1
RND3	0.14887064	0.00043103	FALSE	1	1	7.5	0.5	6.71724138	RND3	2	7	0.0116249605432086	1	0	0	1
ROCK1	0.21075581	0.09118057	TRUE	2	7	3.77777777777778	0.01388889	4.74482759	ROCK1	0	5	0.0643765951386502	1	6	0	2
RSK_f	0.25573192	0.01784886	TRUE	2	9	7.09090909090909	0.05454545	3.91034483	RPS6KA1, RPS6KA2, RPS6KA3	0	1	0.0176106054691176	4	5	0	2
RTPK_f	0.26126126	0.13498089	FALSE	4	4	6.625	0.01785714	3.82758621	EGFR, ERBB2, ERBB3, ERBB4, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, MET	1	3	0.0633821025670991	1	3	2	2
RTPK_g	0.20833333	0.01244513	FALSE	1	1	6	0	4.8	EGFR, ERBB2, ERBB3, ERBB4, IGF1R, PDGFRA, PDGFRB, CSF1R, KIT, FLT3, FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, MET	2	4	0.0202232809581468	0	1	0	1
S6K_f	0.24046434	0.01791373	FALSE	2	5	6.28571428571429	0	4.15862069	RPS6KB1, RPS6KB2	1	3	0.0174992710864185	5	0	0	2
SFRP1	0.16201117	0.02167887	FALSE	1	1	2.5	0	6.17241379	SFRP1	3	5	0.0232192217469421	1	0	0	1
SFRP1_g	0.14009662	0.0214873	FALSE	1	1	5	0	7.13793103	SFRP1	4	6	0.0241432439316075	0	1	1	0
SHC1	0.13849093	0.02383074	FALSE	5	1	7.16666666666667	0.06666667	7.22068966	SHC1	3	7	0.0234195830338245	0	1	1	4
SKI	0.21903323	0.00495587	FALSE	1	6	10.8571428571429	0.14285714	4.56551724	SKI	3	5	0.0153286086450577	6	0	1	0
SKP2	0.19863014	0.03416178	FALSE	3	1	9.5	0	5.03448276	SKP2	2	5	0.0236067982521534	1	0	0	3
SMAD1	0.19489247	0.03068644	FALSE	7	2	9.33333333333333	0.08333333	5.13103448	SMAD1	2	4	0.020986992238597	0	2	6	1
SMAD2	0.1835443	0.02212878	FALSE	8	3	7.90909090909091	0.04545455	5.44827586	SMAD2	3	6	0.0169927119201554	0	3	3	5
SMAD3	0.18709677	0.04733241	FALSE	11	4	9.86666666666667	0.07142857	5.34482759	SMAD3	3	6	0.0192504419845236	0	4	7	4
SMAD4	0.18661519	0.02673699	FALSE	10	3	8.23076923076923	0.12820513	5.35862069	SMAD4	3	6	0.0233353449590575	0	3	4	6
SMAD5	0.15795207	0.00015145	FALSE	3	1	7.75	0.08333333	6.33103448	SMAD5	4	7	0.0124907787001693	0	1	2	1
SMAD6	0.19808743	0.0119309	FALSE	1	4	10.2	0.25	5.04827586	SMAD6	1	5	0.0205506249108075	4	0	0	1
SMAD6_g	0.16571429	0.01173933	FALSE	3	1	11	0.33333333	6.03448276	SMAD6	2	6	0.0211635266204878	0	1	0	3
SMAD7	0.26508227	0.15331463	FALSE	6	6	8.1	0.08888889	3.77241379	SMAD7	1	4	0.0670148573448673	3	3	3	3
SMAD7_g	0.21014493	0.04475848	FALSE	3	1	12.25	0.33333333	4.75862069	SMAD7	2	5	0.021951662032614	0	1	0	3
SMURF1	0.24086379	0.02000542	FALSE	1	7	8	0.0952381	4.15172414	SMURF1	1	5	0.0166534305157665	6	1	0	1
SMURF2	0.21969697	0.01115999	FALSE	1	6	7.16666666666667	0.1	4.55172414	SMURF2	1	5	0.0154510416868154	6	0	0	1
SOCS1	0.15829694	0.01538132	FALSE	1	2	4	0	6.31724138	SOCS1	1	4	0.0182484624409167	2	0	0	1
SOCS1_g	0.13705104	0.01518975	FALSE	1	1	6	0	7.29655172	SOCS1	2	5	0.0187917309826653	0	1	0	1
SOS1	0.16821346	0.01788295	FALSE	3	1	7.75	0	5.94482759	SOS1	2	6	0.015374230782768	0	1	1	2
SRC	0.22103659	0.05582782	FALSE	2	6	6.25	0.03571429	4.52413793	SRC	1	3	0.0374016808015466	1	5	1	1
SRF	0.14064016	0.02455565	FALSE	3	1	6.25	0.08333333	7.11034483	SRF	4	7	0.0259543837841938	0	1	0	3
STAT1	0.13862333	0.0336657	FALSE	6	3	6.77777777777778	0.01388889	7.2137931	STAT1	3	2	0.0296535003598147	1	2	1	5
STAT2	0.66666667	0.00130894	FALSE	1	1	4.5	0	1.5	STAT2	NA	NA	0.00621477853235097	0	1	0	1
STAT3	0.18880208	0.08506791	TRUE	9	3	8.5	0.00757576	5.29655172	STAT3	0	2	0.0305679126243795	0	3	1	8
SYK	0.16959064	0.02979921	TRUE	1	2	3.66666666666667	0	5.89655172	SYK	0	7	0.0285767423713086	0	2	0	1
TAB_f	0.19256308	0.03293807	FALSE	2	1	8.66666666666667	0	5.19310345	TAB1, TAB2	1	4	0.0261042436150561	0	1	1	1
TCF7_f	0.16763006	0.03007435	FALSE	2	4	4.16666666666667	0.03333333	5.96551724	TCF7, TCF7L1, TCF7L2	1	2	0.0258981492668499	1	3	1	1
TGFB1	0.14902364	0.02720678	FALSE	3	1	5.5	0	6.71034483	TGFB1	2	8	0.0174715531591515	0	1	0	3
TGFBR1	0.20336606	0.04840971	TRUE	5	5	7.2	0.11111111	4.91724138	TGFBR1	0	6	0.0220535407197492	0	5	4	1
TGFBR2	0.17406963	0.03001168	FALSE	3	2	6	0.15	5.74482759	TGFBR2	1	7	0.022141087540443	0	2	2	1
TIAM1	0.17835178	0.00361517	FALSE	1	1	9.5	0	5.60689655	TIAM1	3	6	0.0124940213498673	0	1	1	0
TP53	0.2	0.05203102	FALSE	5	4	6.77777777777778	0.04166667	5	TP53	1	4	0.0371720853083378	2	2	1	4
TRAF6	0.17857143	0.04357683	FALSE	2	2	5.75	0	5.6	TRAF6	2	5	0.0195871047191233	0	2	0	2
TSC_f	0.21449704	0.0399145	FALSE	5	2	11.5714285714286	0.11904762	4.66206897	TSC1, TSC2	2	4	0.0257949407864622	1	1	4	1
VAV1	0.17923362	0.01310541	FALSE	1	1	6.5	0	5.57931034	VAV1	3	6	0.0139982110850072	0	1	0	1
